2022-09-19 17:28:48 status half-installed python3.9:amd64 3.9.2-1
2022-09-19 17:28:48 status unpacked python3.9:amd64 3.9.2-1
2022-09-19 17:28:48 install libpython3-stdlib:amd64 <none> 3.9.2-3
2022-09-19 17:28:48 status half-installed libpython3-stdlib:amd64 3.9.2-3
2022-09-19 17:28:48 status unpacked libpython3-stdlib:amd64 3.9.2-3
2022-09-19 17:28:48 startup packages configure
2022-09-19 17:28:48 configure python3-minimal:amd64 3.9.2-3 <none>
2022-09-19 17:28:48 status unpacked python3-minimal:amd64 3.9.2-3
2022-09-19 17:28:48 status half-configured python3-minimal:amd64 3.9.2-3
2022-09-19 17:28:48 status installed python3-minimal:amd64 3.9.2-3
2022-09-19 17:28:48 startup archives unpack
2022-09-19 17:28:48 install python3:amd64 <none> 3.9.2-3
2022-09-19 17:28:48 status half-installed python3:amd64 3.9.2-3
2022-09-19 17:28:48 status unpacked python3:amd64 3.9.2-3
2022-09-19 17:28:48 install python3-pkg-resources:all <none> 52.0.0-4
2022-09-19 17:28:48 status half-installed python3-pkg-resources:all 52.0.0-4
2022-09-19 17:28:48 status unpacked python3-pkg-resources:all 52.0.0-4
2022-09-19 17:28:48 install supervisor:all <none> 4.2.2-2
2022-09-19 17:28:48 status half-installed supervisor:all 4.2.2-2
2022-09-19 17:28:48 status unpacked supervisor:all 4.2.2-2
2022-09-19 17:28:48 install libelf1:amd64 <none> 0.183-1
2022-09-19 17:28:48 status half-installed libelf1:amd64 0.183-1
2022-09-19 17:28:48 status unpacked libelf1:amd64 0.183-1
2022-09-19 17:28:49 install libbpf0:amd64 <none> 1:0.3-2
2022-09-19 17:28:49 status half-installed libbpf0:amd64 1:0.3-2
2022-09-19 17:28:49 status unpacked libbpf0:amd64 1:0.3-2
2022-09-19 17:28:49 install libmd0:amd64 <none> 1.0.3-3
2022-09-19 17:28:49 status half-installed libmd0:amd64 1.0.3-3
2022-09-19 17:28:49 status unpacked libmd0:amd64 1.0.3-3
2022-09-19 17:28:49 install libbsd0:amd64 <none> 0.11.3-1
2022-09-19 17:28:49 status half-installed libbsd0:amd64 0.11.3-1
2022-09-19 17:28:49 status unpacked libbsd0:amd64 0.11.3-1
2022-09-19 17:28:49 install libcap2:amd64 <none> 1:2.44-1
2022-09-19 17:28:49 status half-installed libcap2:amd64 1:2.44-1
2022-09-19 17:28:49 status unpacked libcap2:amd64 1:2.44-1
2022-09-19 17:28:49 install libmnl0:amd64 <none> 1.0.4-3
2022-09-19 17:28:49 status half-installed libmnl0:amd64 1.0.4-3
2022-09-19 17:28:49 status unpacked libmnl0:amd64 1.0.4-3
2022-09-19 17:28:49 install libxtables12:amd64 <none> 1.8.7-1
2022-09-19 17:28:49 status half-installed libxtables12:amd64 1.8.7-1
2022-09-19 17:28:49 status unpacked libxtables12:amd64 1.8.7-1
2022-09-19 17:28:49 install libcap2-bin:amd64 <none> 1:2.44-1
2022-09-19 17:28:49 status half-installed libcap2-bin:amd64 1:2.44-1
2022-09-19 17:28:49 status unpacked libcap2-bin:amd64 1:2.44-1
2022-09-19 17:28:49 install iproute2:amd64 <none> 5.10.0-4
2022-09-19 17:28:49 status half-installed iproute2:amd64 5.10.0-4
2022-09-19 17:28:49 status unpacked iproute2:amd64 5.10.0-4
2022-09-19 17:28:49 install netbase:all <none> 6.3
2022-09-19 17:28:49 status half-installed netbase:all 6.3
2022-09-19 17:28:49 status unpacked netbase:all 6.3
2022-09-19 17:28:49 install libncurses6:amd64 <none> 6.2+20201114-2
2022-09-19 17:28:49 status half-installed libncurses6:amd64 6.2+20201114-2
2022-09-19 17:28:49 status unpacked libncurses6:amd64 6.2+20201114-2
2022-09-19 17:28:49 install libprocps8:amd64 <none> 2:3.3.17-5
2022-09-19 17:28:49 status half-installed libprocps8:amd64 2:3.3.17-5
2022-09-19 17:28:49 status unpacked libprocps8:amd64 2:3.3.17-5
2022-09-19 17:28:49 install procps:amd64 <none> 2:3.3.17-5
2022-09-19 17:28:49 status half-installed procps:amd64 2:3.3.17-5
2022-09-19 17:28:49 status unpacked procps:amd64 2:3.3.17-5
2022-09-19 17:28:49 install sensible-utils:all <none> 0.0.14
2022-09-19 17:28:49 status half-installed sensible-utils:all 0.0.14
2022-09-19 17:28:49 status unpacked sensible-utils:all 0.0.14
2022-09-19 17:28:49 install openssl:amd64 <none> 1.1.1n-0+deb11u3
2022-09-19 17:28:49 status half-installed openssl:amd64 1.1.1n-0+deb11u3
2022-09-19 17:28:49 status unpacked openssl:amd64 1.1.1n-0+deb11u3
2022-09-19 17:28:49 install ca-certificates:all <none> 20210119
2022-09-19 17:28:49 status half-installed ca-certificates:all 20210119
2022-09-19 17:28:50 status unpacked ca-certificates:all 20210119
2022-09-19 17:28:50 install ucf:all <none> 3.0043
2022-09-19 17:28:50 status half-installed ucf:all 3.0043
2022-09-19 17:28:50 status unpacked ucf:all 3.0043
2022-09-19 17:28:50 install acl:amd64 <none> 2.2.53-10
2022-09-19 17:28:50 status half-installed acl:amd64 2.2.53-10
2022-09-19 17:28:50 status unpacked acl:amd64 2.2.53-10
2022-09-19 17:28:50 install libapr1:amd64 <none> 1.7.0-6+deb11u1
2022-09-19 17:28:50 status half-installed libapr1:amd64 1.7.0-6+deb11u1
2022-09-19 17:28:50 status unpacked libapr1:amd64 1.7.0-6+deb11u1
2022-09-19 17:28:50 install libaprutil1:amd64 <none> 1.6.1-5
2022-09-19 17:28:50 status half-installed libaprutil1:amd64 1.6.1-5
2022-09-19 17:28:50 status unpacked libaprutil1:amd64 1.6.1-5
2022-09-19 17:28:50 install apache2-utils:amd64 <none> 2.4.54-1~deb11u1
2022-09-19 17:28:50 status half-installed apache2-utils:amd64 2.4.54-1~deb11u1
2022-09-19 17:28:50 status unpacked apache2-utils:amd64 2.4.54-1~deb11u1
2022-09-19 17:28:50 install libbrotli1:amd64 <none> 1.0.9-2+b2
2022-09-19 17:28:50 status half-installed libbrotli1:amd64 1.0.9-2+b2
2022-09-19 17:28:50 status unpacked libbrotli1:amd64 1.0.9-2+b2
2022-09-19 17:28:50 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2022-09-19 17:28:50 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-09-19 17:28:50 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-09-19 17:28:50 install libsasl2-2:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2022-09-19 17:28:50 status half-installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-09-19 17:28:50 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-09-19 17:28:50 install libldap-2.4-2:amd64 <none> 2.4.57+dfsg-3+deb11u1
2022-09-19 17:28:50 status half-installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-09-19 17:28:50 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-09-19 17:28:50 install libnghttp2-14:amd64 <none> 1.43.0-1
2022-09-19 17:28:50 status half-installed libnghttp2-14:amd64 1.43.0-1
2022-09-19 17:28:50 status unpacked libnghttp2-14:amd64 1.43.0-1
2022-09-19 17:28:50 install libpsl5:amd64 <none> 0.21.0-1.2
2022-09-19 17:28:50 status half-installed libpsl5:amd64 0.21.0-1.2
2022-09-19 17:28:50 status unpacked libpsl5:amd64 0.21.0-1.2
2022-09-19 17:28:50 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2022-09-19 17:28:50 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-09-19 17:28:50 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-09-19 17:28:50 install libssh2-1:amd64 <none> 1.9.0-2
2022-09-19 17:28:50 status half-installed libssh2-1:amd64 1.9.0-2
2022-09-19 17:28:50 status unpacked libssh2-1:amd64 1.9.0-2
2022-09-19 17:28:50 install libcurl4:amd64 <none> 7.74.0-1.3+deb11u3
2022-09-19 17:28:50 status half-installed libcurl4:amd64 7.74.0-1.3+deb11u3
2022-09-19 17:28:50 status unpacked libcurl4:amd64 7.74.0-1.3+deb11u3
2022-09-19 17:28:50 install curl:amd64 <none> 7.74.0-1.3+deb11u3
2022-09-19 17:28:50 status half-installed curl:amd64 7.74.0-1.3+deb11u3
2022-09-19 17:28:50 status unpacked curl:amd64 7.74.0-1.3+deb11u3
2022-09-19 17:28:50 install libpaper1:amd64 <none> 1.1.28+b1
2022-09-19 17:28:50 status half-installed libpaper1:amd64 1.1.28+b1
2022-09-19 17:28:50 status unpacked libpaper1:amd64 1.1.28+b1
2022-09-19 17:28:51 install enscript:amd64 <none> 1.6.5.90-3+b1
2022-09-19 17:28:51 status half-installed enscript:amd64 1.6.5.90-3+b1
2022-09-19 17:28:51 status unpacked enscript:amd64 1.6.5.90-3+b1
2022-09-19 17:28:51 install fonts-dejavu-core:all <none> 2.37-2
2022-09-19 17:28:51 status half-installed fonts-dejavu-core:all 2.37-2
2022-09-19 17:28:51 status unpacked fonts-dejavu-core:all 2.37-2
2022-09-19 17:28:51 install fontconfig-config:all <none> 2.13.1-4.2
2022-09-19 17:28:51 status half-installed fontconfig-config:all 2.13.1-4.2
2022-09-19 17:28:51 status unpacked fontconfig-config:all 2.13.1-4.2
2022-09-19 17:28:51 install libapparmor1:amd64 <none> 2.13.6-10
2022-09-19 17:28:51 status half-installed libapparmor1:amd64 2.13.6-10
2022-09-19 17:28:51 status unpacked libapparmor1:amd64 2.13.6-10
2022-09-19 17:28:51 install libargon2-1:amd64 <none> 0~20171227-0.2
2022-09-19 17:28:51 status half-installed libargon2-1:amd64 0~20171227-0.2
2022-09-19 17:28:51 status unpacked libargon2-1:amd64 0~20171227-0.2
2022-09-19 17:28:51 install libconfig-inifiles-perl:all <none> 3.000003-1
2022-09-19 17:28:51 status half-installed libconfig-inifiles-perl:all 3.000003-1
2022-09-19 17:28:51 status unpacked libconfig-inifiles-perl:all 3.000003-1
2022-09-19 17:28:51 install libdeflate0:amd64 <none> 1.7-1
2022-09-19 17:28:51 status half-installed libdeflate0:amd64 1.7-1
2022-09-19 17:28:51 status unpacked libdeflate0:amd64 1.7-1
2022-09-19 17:28:51 install libedit2:amd64 <none> 3.1-20191231-2+b1
2022-09-19 17:28:51 status half-installed libedit2:amd64 3.1-20191231-2+b1
2022-09-19 17:28:51 status unpacked libedit2:amd64 3.1-20191231-2+b1
2022-09-19 17:28:51 install libpng16-16:amd64 <none> 1.6.37-3
2022-09-19 17:28:51 status half-installed libpng16-16:amd64 1.6.37-3
2022-09-19 17:28:51 status unpacked libpng16-16:amd64 1.6.37-3
2022-09-19 17:28:51 install libfreetype6:amd64 <none> 2.10.4+dfsg-1+deb11u1
2022-09-19 17:28:51 status half-installed libfreetype6:amd64 2.10.4+dfsg-1+deb11u1
2022-09-19 17:28:51 status unpacked libfreetype6:amd64 2.10.4+dfsg-1+deb11u1
2022-09-19 17:28:51 install libfontconfig1:amd64 <none> 2.13.1-4.2
2022-09-19 17:28:51 status half-installed libfontconfig1:amd64 2.13.1-4.2
2022-09-19 17:28:51 status unpacked libfontconfig1:amd64 2.13.1-4.2
2022-09-19 17:28:51 install libjpeg62-turbo:amd64 <none> 1:2.0.6-4
2022-09-19 17:28:51 status half-installed libjpeg62-turbo:amd64 1:2.0.6-4
2022-09-19 17:28:51 status unpacked libjpeg62-turbo:amd64 1:2.0.6-4
2022-09-19 17:28:52 install libjbig0:amd64 <none> 2.1-3.1+b2
2022-09-19 17:28:52 status half-installed libjbig0:amd64 2.1-3.1+b2
2022-09-19 17:28:52 status unpacked libjbig0:amd64 2.1-3.1+b2
2022-09-19 17:28:52 install libwebp6:amd64 <none> 0.6.1-2.1
2022-09-19 17:28:52 status half-installed libwebp6:amd64 0.6.1-2.1
2022-09-19 17:28:52 status unpacked libwebp6:amd64 0.6.1-2.1
2022-09-19 17:28:52 install libtiff5:amd64 <none> 4.2.0-1+deb11u1
2022-09-19 17:28:52 status half-installed libtiff5:amd64 4.2.0-1+deb11u1
2022-09-19 17:28:52 status unpacked libtiff5:amd64 4.2.0-1+deb11u1
2022-09-19 17:28:52 install libxau6:amd64 <none> 1:1.0.9-1
2022-09-19 17:28:52 status half-installed libxau6:amd64 1:1.0.9-1
2022-09-19 17:28:52 status unpacked libxau6:amd64 1:1.0.9-1
2022-09-19 17:28:52 install libxdmcp6:amd64 <none> 1:1.1.2-3
2022-09-19 17:28:52 status half-installed libxdmcp6:amd64 1:1.1.2-3
2022-09-19 17:28:52 status unpacked libxdmcp6:amd64 1:1.1.2-3
2022-09-19 17:28:52 install libxcb1:amd64 <none> 1.14-3
2022-09-19 17:28:52 status half-installed libxcb1:amd64 1.14-3
2022-09-19 17:28:52 status unpacked libxcb1:amd64 1.14-3
2022-09-19 17:28:52 install libx11-data:all <none> 2:1.7.2-1
2022-09-19 17:28:52 status half-installed libx11-data:all 2:1.7.2-1
2022-09-19 17:28:52 status unpacked libx11-data:all 2:1.7.2-1
2022-09-19 17:28:52 install libx11-6:amd64 <none> 2:1.7.2-1
2022-09-19 17:28:52 status half-installed libx11-6:amd64 2:1.7.2-1
2022-09-19 17:28:52 status unpacked libx11-6:amd64 2:1.7.2-1
2022-09-19 17:28:52 install libxpm4:amd64 <none> 1:3.5.12-1
2022-09-19 17:28:52 status half-installed libxpm4:amd64 1:3.5.12-1
2022-09-19 17:28:52 status unpacked libxpm4:amd64 1:3.5.12-1
2022-09-19 17:28:52 install libgd3:amd64 <none> 2.3.0-2
2022-09-19 17:28:52 status half-installed libgd3:amd64 2.3.0-2
2022-09-19 17:28:52 status unpacked libgd3:amd64 2.3.0-2
2022-09-19 17:28:52 install libgeoip1:amd64 <none> 1.6.12-7
2022-09-19 17:28:52 status half-installed libgeoip1:amd64 1.6.12-7
2022-09-19 17:28:52 status unpacked libgeoip1:amd64 1.6.12-7
2022-09-19 17:28:52 install libicu67:amd64 <none> 67.1-7
2022-09-19 17:28:52 status half-installed libicu67:amd64 67.1-7
2022-09-19 17:28:53 status unpacked libicu67:amd64 67.1-7
2022-09-19 17:28:53 install libmagic-mgc:amd64 <none> 1:5.39-3
2022-09-19 17:28:53 status half-installed libmagic-mgc:amd64 1:5.39-3
2022-09-19 17:28:53 status unpacked libmagic-mgc:amd64 1:5.39-3
2022-09-19 17:28:53 install libmagic1:amd64 <none> 1:5.39-3
2022-09-19 17:28:53 status half-installed libmagic1:amd64 1:5.39-3
2022-09-19 17:28:53 status unpacked libmagic1:amd64 1:5.39-3
2022-09-19 17:28:54 install mysql-common:all <none> 5.8+1.0.7
2022-09-19 17:28:54 status half-installed mysql-common:all 5.8+1.0.7
2022-09-19 17:28:54 status unpacked mysql-common:all 5.8+1.0.7
2022-09-19 17:28:54 install mariadb-common:all <none> 1:10.5.15-0+deb11u1
2022-09-19 17:28:54 status half-installed mariadb-common:all 1:10.5.15-0+deb11u1
2022-09-19 17:28:54 status unpacked mariadb-common:all 1:10.5.15-0+deb11u1
2022-09-19 17:28:54 install libmariadb3:amd64 <none> 1:10.5.15-0+deb11u1
2022-09-19 17:28:54 status half-installed libmariadb3:amd64 1:10.5.15-0+deb11u1
2022-09-19 17:28:54 status unpacked libmariadb3:amd64 1:10.5.15-0+deb11u1
2022-09-19 17:28:54 install nginx-common:all <none> 1.18.0-6.1+deb11u2
2022-09-19 17:28:54 status half-installed nginx-common:all 1.18.0-6.1+deb11u2
2022-09-19 17:28:54 status unpacked nginx-common:all 1.18.0-6.1+deb11u2
2022-09-19 17:28:54 install libnginx-mod-http-geoip:amd64 <none> 1.18.0-6.1+deb11u2
2022-09-19 17:28:54 status half-installed libnginx-mod-http-geoip:amd64 1.18.0-6.1+deb11u2
2022-09-19 17:28:54 status unpacked libnginx-mod-http-geoip:amd64 1.18.0-6.1+deb11u2
2022-09-19 17:28:54 install libnginx-mod-http-image-filter:amd64 <none> 1.18.0-6.1+deb11u2
2022-09-19 17:28:54 status half-installed libnginx-mod-http-image-filter:amd64 1.18.0-6.1+deb11u2
2022-09-19 17:28:54 status unpacked libnginx-mod-http-image-filter:amd64 1.18.0-6.1+deb11u2
2022-09-19 17:28:54 install libxml2:amd64 <none> 2.9.10+dfsg-6.7+deb11u2
2022-09-19 17:28:54 status half-installed libxml2:amd64 2.9.10+dfsg-6.7+deb11u2
2022-09-19 17:28:54 status unpacked libxml2:amd64 2.9.10+dfsg-6.7+deb11u2
2022-09-19 17:28:54 install libxslt1.1:amd64 <none> 1.1.34-4+deb11u1
2022-09-19 17:28:54 status half-installed libxslt1.1:amd64 1.1.34-4+deb11u1
2022-09-19 17:28:54 status unpacked libxslt1.1:amd64 1.1.34-4+deb11u1
2022-09-19 17:28:54 install libnginx-mod-http-xslt-filter:amd64 <none> 1.18.0-6.1+deb11u2
2022-09-19 17:28:54 status half-installed libnginx-mod-http-xslt-filter:amd64 1.18.0-6.1+deb11u2
2022-09-19 17:28:54 status unpacked libnginx-mod-http-xslt-filter:amd64 1.18.0-6.1+deb11u2
2022-09-19 17:28:54 install libnginx-mod-mail:amd64 <none> 1.18.0-6.1+deb11u2
2022-09-19 17:28:54 status half-installed libnginx-mod-mail:amd64 1.18.0-6.1+deb11u2
2022-09-19 17:28:54 status unpacked libnginx-mod-mail:amd64 1.18.0-6.1+deb11u2
2022-09-19 17:28:54 install libnginx-mod-stream:amd64 <none> 1.18.0-6.1+deb11u2
2022-09-19 17:28:54 status half-installed libnginx-mod-stream:amd64 1.18.0-6.1+deb11u2
2022-09-19 17:28:54 status unpacked libnginx-mod-stream:amd64 1.18.0-6.1+deb11u2
2022-09-19 17:28:54 install libnginx-mod-stream-geoip:amd64 <none> 1.18.0-6.1+deb11u2
2022-09-19 17:28:54 status half-installed libnginx-mod-stream-geoip:amd64 1.18.0-6.1+deb11u2
2022-09-19 17:28:54 status unpacked libnginx-mod-stream-geoip:amd64 1.18.0-6.1+deb11u2
2022-09-19 17:28:54 install libonig5:amd64 <none> 6.9.6-1.1
2022-09-19 17:28:54 status half-installed libonig5:amd64 6.9.6-1.1
2022-09-19 17:28:54 status unpacked libonig5:amd64 6.9.6-1.1
2022-09-19 17:28:54 install libsodium23:amd64 <none> 1.0.18-1
2022-09-19 17:28:54 status half-installed libsodium23:amd64 1.0.18-1
2022-09-19 17:28:54 status unpacked libsodium23:amd64 1.0.18-1
2022-09-19 17:28:54 install libyaml-0-2:amd64 <none> 0.2.2-1
2022-09-19 17:28:54 status half-installed libyaml-0-2:amd64 0.2.2-1
2022-09-19 17:28:54 status unpacked libyaml-0-2:amd64 0.2.2-1
2022-09-19 17:28:55 install libzip4:amd64 <none> 1.7.3-1
2022-09-19 17:28:55 status half-installed libzip4:amd64 1.7.3-1
2022-09-19 17:28:55 status unpacked libzip4:amd64 1.7.3-1
2022-09-19 17:28:55 install lpr:amd64 <none> 1:2008.05.17.3
2022-09-19 17:28:55 status half-installed lpr:amd64 1:2008.05.17.3
2022-09-19 17:28:55 status unpacked lpr:amd64 1:2008.05.17.3
2022-09-19 17:28:55 install mariadb-client-core-10.5:amd64 <none> 1:10.5.15-0+deb11u1
2022-09-19 17:28:55 status half-installed mariadb-client-core-10.5:amd64 1:10.5.15-0+deb11u1
2022-09-19 17:28:55 status unpacked mariadb-client-core-10.5:amd64 1:10.5.15-0+deb11u1
2022-09-19 17:28:55 install mariadb-client-10.5:amd64 <none> 1:10.5.15-0+deb11u1
2022-09-19 17:28:55 status half-installed mariadb-client-10.5:amd64 1:10.5.15-0+deb11u1
2022-09-19 17:28:55 status unpacked mariadb-client-10.5:amd64 1:10.5.15-0+deb11u1
2022-09-19 17:28:55 install mariadb-client:all <none> 1:10.5.15-0+deb11u1
2022-09-19 17:28:55 status half-installed mariadb-client:all 1:10.5.15-0+deb11u1
2022-09-19 17:28:55 status unpacked mariadb-client:all 1:10.5.15-0+deb11u1
2022-09-19 17:28:55 install nginx-core:amd64 <none> 1.18.0-6.1+deb11u2
2022-09-19 17:28:55 status half-installed nginx-core:amd64 1.18.0-6.1+deb11u2
2022-09-19 17:28:55 status unpacked nginx-core:amd64 1.18.0-6.1+deb11u2
2022-09-19 17:28:55 install nginx:all <none> 1.18.0-6.1+deb11u2
2022-09-19 17:28:55 status half-installed nginx:all 1.18.0-6.1+deb11u2
2022-09-19 17:28:55 status unpacked nginx:all 1.18.0-6.1+deb11u2
2022-09-19 17:28:55 install psmisc:amd64 <none> 23.4-2
2022-09-19 17:28:55 status half-installed psmisc:amd64 23.4-2
2022-09-19 17:28:55 status unpacked psmisc:amd64 23.4-2
2022-09-19 17:28:55 install php-common:all <none> 2:76
2022-09-19 17:28:55 status half-installed php-common:all 2:76
2022-09-19 17:28:55 status unpacked php-common:all 2:76
2022-09-19 17:28:56 install php7.4-common:amd64 <none> 7.4.30-1+deb11u1
2022-09-19 17:28:56 status half-installed php7.4-common:amd64 7.4.30-1+deb11u1
2022-09-19 17:28:56 status unpacked php7.4-common:amd64 7.4.30-1+deb11u1
2022-09-19 17:28:56 install php7.4-json:amd64 <none> 7.4.30-1+deb11u1
2022-09-19 17:28:56 status half-installed php7.4-json:amd64 7.4.30-1+deb11u1
2022-09-19 17:28:56 status unpacked php7.4-json:amd64 7.4.30-1+deb11u1
2022-09-19 17:28:56 install php7.4-opcache:amd64 <none> 7.4.30-1+deb11u1
2022-09-19 17:28:56 status half-installed php7.4-opcache:amd64 7.4.30-1+deb11u1
2022-09-19 17:28:56 status unpacked php7.4-opcache:amd64 7.4.30-1+deb11u1
2022-09-19 17:28:56 install php7.4-readline:amd64 <none> 7.4.30-1+deb11u1
2022-09-19 17:28:56 status half-installed php7.4-readline:amd64 7.4.30-1+deb11u1
2022-09-19 17:28:56 status unpacked php7.4-readline:amd64 7.4.30-1+deb11u1
2022-09-19 17:28:56 install php7.4-cli:amd64 <none> 7.4.30-1+deb11u1
2022-09-19 17:28:56 status half-installed php7.4-cli:amd64 7.4.30-1+deb11u1
2022-09-19 17:28:56 status unpacked php7.4-cli:amd64 7.4.30-1+deb11u1
